Absage,-1,Stellenanzeige,219416,1.875
Affe,45744,Gepäckkontrolle,-1,0.125
Affe,45744,Makake,420332,4.0
Agentur,132587,Irrtum,123144,0.0
Airbag,33717,Kopfairbag,-1,3.875
Ansehen,91983,Schaden,96440,0.875
Aufpreis,-1,Grundpreis,2537043,3.125
Aufstieg,236886,Erfolg,87624,3.25
Aussage,16577,Auftritt,1233464,1.375
Aussage,16577,Rede,46757,2.375
Bayern,475,Deutschland,1497705,3.5
Behörde,47038,Vorschrift,112898,2.75
Benedetto,-1,Benedikt,146649,3.625
Benziner,18569,Dieselversion,18540,3.0
Berlin,2552494,Berlin-Kreuzberg,2813,3.375
Berufstätigkeit,382049,Erfolg,87624,2.125
Bewerbung,2560037,Job,33605,2.375
Bild,3945459,Grafik,11421,3.125
Bild,3945459,Röntgenaufnahme,304974,3.0
Bild,12692,Symbol,2676415,2.125
Böse,195406,Gott,18194,2.0
Büro,105211,Schreibtisch,215674,3.0
Design,11727,Optik,3748,2.625
Designer,24527,Eleganz,544105,2.625
Deutschland,1497705,Europa,10108,3.25
Ding,10521,Gegenstand,20865,4.0
Doktorandin,51608,Abteilung,171549,1.875
Doktorandin,51608,Dissertationsthema,16983,2.625
Einkommen,78442,Gehaltsunterschied,-1,2.0
Einrichtung,-1,Interior,-1,3.5
Eltern,8668,Vater,8666,3.5
Erfolg,87624,Maßstab,19842,1.25
Flaschenöffner,182376,Küchenwerkzeug,402439,3.625
Form,-1,Farbe,1733,2.125
Formulierung,-1,Stiftung,156362,0.125
Forscher,1637,Wissenschaftler,-1,3.875
Frage,15663,Antwort,-1,3.25
Frau,303401,Familie,149666,2.75
Frau,303401,Mann,280427,3.25
Frust,146039,Leidensgenosse,-1,1.875
Frust,146039,Rache,136227,1.875
Gefühl,41214,Frau,303401,1.75
Gehege,191103,Zoo,57749,2.625
Gehirn,8371,Kortex,131687,3.25
Gepäckkontrolle,-1,Flughafen,15771,3.125
Gepäcknetz,-1,Staumöglichkeit,-1,2.25
Geschirrdurcheinander,-1,Menschenleben,-1,0.5
Geschlecht,-1,Mann,280427,3.0
Gewalt,496967,Kämpfer,150172,2.625
Gewicht,9034,Karriere,135888,0.375
Gorilla,2095,Schlange,1402607,1.25
Hand,37789,Mensch,3322,2.75
Herkunft,-1,Geschlecht,-1,1.375
Hintergrund,-1,Fassade,-1,2.0
Hirn,-1,Gehirn,8371,3.875
Hirnsignal,-1,Neuronenaktivität,-1,3.5
Hoffnung,101604,Resignation,652730,2.75
Hunderttausend,-1,Menge,-1,3.0
Hunger,48250,Armut,3050364,2.875
Inaugurationsmesse,-1,Premiere,301501,2.125
Innenspiegel,-1,Auto,219,3.125
Jäger,-1,Wald,11036,2.75
Kaffeetasse,110328,Tasse,110328,3.75
Kamera,-1,TV-Kamera,-1,3.75
Karriere,135888,Risiko,-1,1.0
